O + 6         8         7       5963164.(  )
    1 1S2               (1)0( 0.0)               0.0000
    2 1S1 2S1           (3)0( 1.0)         4526946.7472
    3 1S1 2P1           (3)1( 0.0)         4587887.8205
    4 1S1 2P1           (3)1( 1.0)         4588243.3693
    5 1S1 2P1           (3)1( 2.0)         4588974.2197
    6 1S1 2S1           (1)0( 0.0)         4594943.4899
    7 1S1 2P1           (1)1( 1.0)         4636123.9481
    8 1S1 3S1           (3)0( 1.0)         5343184.1973
    9 1S1 3P1           (3)1( 0.0)         5359515.7412
   10 1S1 3P1           (3)1( 1.0)         5359614.5048
   11 1S1 3P1           (3)1( 2.0)         5359815.9825
   12 1S1 3S1           (1)0( 0.0)         5360831.2720
   13 1S1 3D1           (3)2( 1.0)         5368692.8522
   14 1S1 3D1           (3)2( 2.0)         5368728.4071
   15 1S1 3D1           (3)2( 3.0)         5368791.6157
   16 1S1 3D1           (1)2( 2.0)         5369320.9885
   17 1S1 3P1           (1)1( 1.0)         5372722.4058
   -1
 7.00    3       9.80+03 2.45+04 4.90+04 9.80+04 2.45+05 4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07
   2   1 1.00-30 3.17-02 3.63-02 3.02-02 2.17-02 1.32-02 9.57-03 7.10-03 4.77-03 3.45-03 2.40-03 1.37-03 8.49-04 5.03-04 0.00+00
   3   1 1.00-30 3.66-03 3.53-03 3.14-03 2.82-03 2.64-03 2.57-03 2.37-03 1.91-03 1.47-03 1.04-03 5.89-04 3.59-04 2.11-04 0.00+00
   4   1 3.81+08 1.16-02 1.09-02 9.55-03 8.47-03 7.90-03 7.70-03 7.13-03 5.75-03 4.44-03 3.18-03 1.96-03 1.42-03 1.12-03-7.80-06
   5   1 3.20+05 2.03-02 1.85-02 1.61-02 1.42-02 1.32-02 1.29-02 1.19-02 9.61-03 7.40-03 5.23-03 2.95-03 1.80-03 1.06-03 0.00+00
   6   1 1.00-30 5.87-02 3.08-02 2.00-02 1.39-02 1.02-02 9.09-03 8.62-03 8.66-03 9.21-03 1.01-02 1.15-02 1.24-02 1.31-02 1.45-02
   7   1 3.45+12 1.80-02 1.86-02 1.89-02 1.94-02 2.12-02 2.33-02 2.65-02 3.47-02 4.59-02 6.26-02 9.26-02 1.21-01 1.54-01-6.84-02
   8   1 1.00-30 7.04-03 5.63-03 4.14-03 2.99-03 2.08-03 1.66-03 1.34-03 9.98-04 7.60-04 5.44-04 3.15-04 1.94-04 1.14-04 0.00+00
   9   1 1.00-30 7.91-04 7.25-04 6.80-04 6.50-04 6.23-04 5.98-04 5.55-04 4.59-04 3.60-04 2.58-04 1.48-04 9.10-05 5.37-05 0.00+00
  10   1 1.17+08 2.23-03 2.05-03 1.96-03 1.91-03 1.85-03 1.79-03 1.66-03 1.38-03 1.08-03 7.89-04 5.03-04 3.76-04 3.06-04-1.50-06
  11   1 1.12+05 3.27-03 3.20-03 3.16-03 3.12-03 3.07-03 2.97-03 2.77-03 2.29-03 1.80-03 1.29-03 7.42-04 4.56-04 2.69-04 0.00+00
  12   1 1.00-30 4.17-03 3.39-03 2.69-03 2.20-03 1.86-03 1.74-03 1.71-03 1.78-03 1.93-03 2.13-03 2.45-03 2.67-03 2.85-03 3.25-03
  13   1 1.00-30 2.61-04 2.68-04 2.69-04 2.67-04 2.56-04 2.39-04 2.12-04 1.61-04 1.18-04 7.90-05 4.13-05 2.37-05 1.30-05 0.00+00
  14   1 9.72+05 4.41-04 4.51-04 4.52-04 4.47-04 4.28-04 3.99-04 3.54-04 2.70-04 2.00-04 1.37-04 7.78-05 5.10-05 3.48-05 1.20-05
  15   1 2.31+01 6.21-04 6.31-04 6.31-04 6.24-04 5.97-04 5.57-04 4.94-04 3.76-04 2.76-04 1.84-04 9.64-05 5.52-05 3.04-05 0.00+00
  16   1 1.42+08 1.00-03 8.45-04 7.61-04 6.97-04 6.21-04 5.69-04 5.33-04 5.39-04 6.11-04 7.49-04 9.95-04 1.19-03 1.36-03 1.76-03
  17   1 1.04+12 4.31-03 4.35-03 4.41-03 4.53-03 4.82-03 5.23-03 5.93-03 7.67-03 9.97-03 1.33-02 1.90-02 2.44-02 3.06-02-1.32-02
   3   2 7.99+07 7.41-01 7.71-01 7.89-01 8.15-01 8.78-01 9.54-01 1.06+00 1.24+00 1.40+00 1.58+00 1.81+00 1.98+00 2.15+00-2.32-01
   4   2 8.14+07 2.34+00 2.36+00 2.39+00 2.46+00 2.64+00 2.86+00 3.17+00 3.71+00 4.20+00 4.73+00 5.43+00 5.95+00 6.45+00-6.97-01
   5   2 8.43+07 3.86+00 3.93+00 3.99+00 4.10+00 4.40+00 4.77+00 5.28+00 6.17+00 6.98+00 7.87+00 9.04+00 9.89+00 1.07+01-1.16+00
   6   2 1.00-30 8.02-02 6.41-02 5.58-02 5.10-02 5.28-02 5.29-02 4.65-02 3.30-02 2.36-02 1.61-02 9.12-03 5.67-03 3.42-03 0.00+00
   7   2 5.26+04 7.37-02 7.51-02 7.50-02 8.17-02 1.06-01 1.11-01 9.48-02 6.01-02 3.78-02 2.24-02 1.09-02 6.50-03 4.21-03-7.98-05
   8   2 1.00-30 4.94-01 3.98-01 3.14-01 2.54-01 2.15-01 2.05-01 2.05-01 2.13-01 2.23-01 2.31-01 2.40-01 2.44-01 2.46-01 2.50-01
   9   2 4.97+10 3.40-02 2.87-02 2.52-02 2.33-02 2.29-02 2.47-02 2.91-02 4.13-02 5.67-02 7.77-02 1.13-01 1.45-01 1.79-01-5.66-02
  10   2 4.96+10 7.57-02 7.01-02 6.65-02 6.48-02 6.66-02 7.29-02 8.67-02 1.24-01 1.70-01 2.33-01 3.40-01 4.34-01 5.37-01-1.70-01
  11   2 4.96+10 1.67-01 1.41-01 1.25-01 1.16-01 1.14-01 1.23-01 1.45-01 2.06-01 2.83-01 3.88-01 5.66-01 7.23-01 8.94-01-2.82-01
  12   2 1.00-30 2.58-02 1.78-02 1.27-02 9.24-03 6.51-03 5.07-03 3.84-03 2.43-03 1.58-03 9.58-04 4.53-04 2.45-04 1.29-04 0.00+00
  13   2 8.06+06 6.73-02 6.92-02 7.05-02 7.24-02 7.67-02 8.24-02 9.12-02 1.08-01 1.23-01 1.37-01 1.52-01 1.59-01 1.63-01 1.69-01
  14   2 8.00+06 1.12-01 1.15-01 1.17-01 1.20-01 1.27-01 1.37-01 1.51-01 1.79-01 2.03-01 2.27-01 2.51-01 2.63-01 2.70-01 2.79-01
  15   2 8.06+06 1.59-01 1.62-01 1.65-01 1.69-01 1.79-01 1.92-01 2.13-01 2.52-01 2.86-01 3.20-01 3.54-01 3.70-01 3.80-01 3.94-01
  16   2 5.49+04 6.05-02 5.81-02 5.62-02 5.38-02 4.84-02 4.20-02 3.38-02 2.24-02 1.51-02 9.80-03 5.62-03 3.93-03 3.00-03 1.91-03
  17   2 5.99+06 1.97-02 1.95-02 1.92-02 1.86-02 1.68-02 1.45-02 1.16-02 7.38-03 4.75-03 2.86-03 1.40-03 8.36-04 5.44-04-1.95-05
   4   3 8.19-04 1.43-01 1.51-01 1.49-01 1.47-01 1.53-01 1.52-01 1.34-01 9.35-02 6.46-02 4.19-02 2.18-02 1.27-02 7.21-03 0.00+00
   5   3 4.65-09 1.26-01 1.25-01 1.22-01 1.23-01 1.39-01 1.47-01 1.39-01 1.18-01 1.06-01 9.84-02 9.35-02 9.17-02 9.07-02 8.95-02
   6   3 1.00-30 3.84-02 2.42-02 1.76-02 1.38-02 1.33-02 1.33-02 1.12-02 7.08-03 4.41-03 2.56-03 1.17-03 6.19-04 3.22-04 0.00+00
   7   3 2.24-01 4.70-02 4.77-02 4.71-02 4.92-02 6.09-02 6.42-02 5.55-02 3.62-02 2.35-02 1.44-02 7.09-03 4.01-03 2.23-03 0.00+00
   8   3 2.11+09 1.88-01 1.38-01 9.18-02 5.67-02 2.99-02 1.95-02 1.40-02 1.17-02 1.25-02 1.51-02 2.06-02 2.58-02 3.16-02-9.66-03
