 NCHAN =   11 NCONHP =    330 MNP1 =    341      2      0      0
 NCHAN =    0 NCONHP =      0 MNP1 =      0      2      0      1
 NCHAN =    5 NCONHP =    150 MNP1 =    152      4      0      0
 NCHAN =    0 NCONHP =      0 MNP1 =      0      4      0      1
 NCHAN =    6 NCONHP =    180 MNP1 =    185      2      1      0
 NCHAN =   17 NCONHP =    510 MNP1 =    524      2      1      1
 NCHAN =    3 NCONHP =     90 MNP1 =     94      4      1      0
 NCHAN =    8 NCONHP =    240 MNP1 =    246      4      1      1
 NCHAN =   19 NCONHP =    570 MNP1 =    580      2      2      0
 NCHAN =    8 NCONHP =    240 MNP1 =    244      2      2      1
 NCHAN =    9 NCONHP =    270 MNP1 =    273      4      2      0
 NCHAN =    4 NCONHP =    120 MNP1 =    122      4      2      1
 NCHAN =    8 NCONHP =    240 MNP1 =    241      2      3      0
 NCHAN =   19 NCONHP =    570 MNP1 =    574      2      3      1
 NCHAN =    4 NCONHP =    120 MNP1 =    121      4      3      0
 NCHAN =    9 NCONHP =    270 MNP1 =    272      4      3      1
 NCHAN =   19 NCONHP =    570 MNP1 =    571      2      4      0
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2      4      1
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4      4      0
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4      4      1
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2      5      0
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2      5      1
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4      5      0
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4      5      1
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2      6      0
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2      6      1
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4      6      0
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4      6      1
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2      7      0
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2      7      1
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4      7      0
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4      7      1
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2      8      0
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2      8      1
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4      8      0
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4      8      1
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2      9      0
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2      9      1
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4      9      0
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4      9      1
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2     10      0
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2     10      1
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4     10      0
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4     10      1
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2     11      0
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2     11      1
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4     11      0
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4     11      1
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2     12      0
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2     12      1
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4     12      0
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4     12      1
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2     13      0
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2     13      1
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4     13      0
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4     13      1
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2     14      0
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2     14      1
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4     14      0
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4     14      1
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2     15      0
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2     15      1
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4     15      0
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4     15      1
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2     16      0
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2     16      1
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4     16      0
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4     16      1
 NCHAN =    8 NCONHP =    240 MNP1 =    240      2     17      0
 NCHAN =   19 NCONHP =    570 MNP1 =    570      2     17      1
 NCHAN =    4 NCONHP =    120 MNP1 =    120      4     17      0
 NCHAN =    9 NCONHP =    270 MNP1 =    270      4     17      1
